Age,Gender,Country,family_history,work_interfere,no_employees,remote_work,tech_company,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,mental_vs_physical,obs_consequence
42,Female,Netherlands,No,Rarely,100-500,Yes,Yes,No,No,Yes,Don't know,Yes,No,Some of them,Don't know,No
32,Male,United States,No,Rarely,Unknown,Yes,Yes,No,No,Don't know,Very difficult,Maybe,No,Yes,Don't know,No
21,Male,United States,No,Often,More than 1000,No,No,No,No,No,Don't know,Yes,No,Some of them,No,Yes
34,Female,Ireland,No,Sometimes,500-1000,No,No,Yes,No,Yes,Don't know,Yes,Yes,Some of them,Yes,No
27,Male,United States,Yes,Sometimes,More than 1000,No,Yes,No,Don't know,Don't know,Don't know,No,No,No,Don't know,No
49,Male,Japan,Yes,Sometimes,Unknown,Yes,Yes,Yes,No,Don't know,Somewhat difficult,Yes,Yes,No,No,Yes
35,Male,United States,Yes,Sometimes,100-500,No,Yes,No,No,Don't know,Very difficult,Maybe,Maybe,Some of them,No,Yes
25,Male,Germany,Yes,Often,26-100,Yes,Yes,No,No,Yes,Somewhat easy,No,No,Yes,No,No
30,Male,United States,Yes,Sometimes,Unknown,Yes,Yes,No,Don't know,Don't know,Very difficult,Yes,No,No,Don't know,No
42,Male,New Zealand,No,Sometimes,More than 1000,No,No,Don't know,No,Yes,Somewhat difficult,Yes,Maybe,Some of them,No,Yes
30,Male,United Kingdom,Yes,Sometimes,500-1000,Yes,Yes,No,No,Yes,Somewhat easy,Maybe,No,Some of them,Don't know,No
44,Male,United States,Yes,Sometimes,Unknown,Yes,Yes,No,No,No,Very easy,Yes,Yes,Some of them,Yes,No
44,Male,United Kingdom,Yes,Sometimes,500-1000,No,No,No,No,Don't know,Somewhat difficult,Maybe,No,Some of them,No,Yes
32,Male,United States,Yes,Sometimes,26-100,Yes,Yes,No,No,Don't know,Somewhat difficult,Yes,No,Some of them,No,No
30,Male,Ireland,No,Rarely,100-500,No,Yes,Yes,Yes,Don't know,Somewhat easy,Yes,No,Some of them,No,Yes
39,Male,United States,No,Rarely,100-500,Yes,Yes,No,No,Yes,Very easy,Maybe,No,Some of them,Don't know,No
37,Female,United States,Yes,Rarely,26-100,No,No,Yes,Yes,Don't know,Don't know,Maybe,Maybe,Yes,Yes,No
32,Female,United States,No,Sometimes,26-100,No,Yes,No,No,Yes,Don't know,Maybe,Maybe,Some of them,No,No
37,Male,Canada,Yes,Sometimes,100-500,No,No,No,No,Don't know,Somewhat difficult,Yes,Maybe,Some of them,No,No
32,Male,United Kingdom,No,Rarely,Unknown,No,Yes,Yes,Yes,Yes,Very easy,No,No,Some of them,No,Yes
39,Male,United Kingdom,No,Never,26-100,No,No,No,No,Don't know,Don't know,Yes,Maybe,No,Don't know,No
40,Male,United States,Yes,Sometimes,Unknown,No,Yes,No,No,Yes,Don't know,Maybe,No,Some of them,Yes,No
26,Male,United States,No,Sometimes,Unknown,No,Yes,No,No,Yes,Don't know,Maybe,No,Some of them,Don't know,No
29,Male,Poland,Yes,Rarely,Unknown,No,Yes,No,No,Yes,Very difficult,Maybe,No,Some of them,No,No
30,Male,India,No,Often,Unknown,No,Yes,No,No,No,Very easy,Maybe,Maybe,Some of them,Don't know,No
24,Female,United States,Yes,Sometimes,Unknown,Yes,Yes,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Don't know,Yes
42,Male,United States,Yes,Sometimes,26-100,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No,Some of them,Don't know,No
21,Male,United States,No,Often,Unknown,No,No,No,Don't know,Don't know,Don't know,Maybe,No,No,Don't know,No
31,Male,United States,No,Never,26-100,No,Yes,No,Don't know,Don't know,Don't know,Maybe,No,No,Don't know,No
32,Male,Netherlands,No,Sometimes,Unknown,No,Yes,No,No,Yes,Very difficult,Maybe,No,Some of them,No,No
43,Male,United Kingdom,Yes,Rarely,26-100,No,Yes,No,No,Don't know,Very difficult,Yes,Yes,Some of them,No,Yes
29,Male,United States,No,Sometimes,26-100,No,Yes,No,No,Don't know,Don't know,Yes,No,Some of them,Don't know,No
35,Female,United States,Yes,Sometimes,Unknown,Yes,Yes,No,No,Yes,Don't know,Maybe,Maybe,Some of them,Yes,No
39,Male,United States,Yes,Often,More than 1000,No,Yes,No,Don't know,Don't know,Don't know,Yes,No,Some of them,No,Yes
37,Female,Canada,Yes,Rarely,Unknown,Yes,Yes,No,No,Yes,Somewhat easy,Yes,Maybe,Some of them,Don't know,Yes
28,Male,United States,No,Sometimes,More than 1000,No,Yes,No,No,Yes,Very difficult,Yes,No,No,No,No
22,Male,United States,No,Sometimes,500-1000,No,Yes,No,Don't know,Yes,Don't know,Yes,No,No,No,No
38,Male,United States,No,Sometimes,26-100,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,No,No
31,Male,United States,Yes,Rarely,100-500,Yes,Yes,Yes,Don't know,Yes,Very easy,No,No,Some of them,Yes,No
35,Male,United States,Yes,Sometimes,Unknown,No,No,No,No,Yes,Don't know,No,No,Some of them,Yes,No
40,Male,United States,Yes,Sometimes,More than 1000,No,Yes,Yes,Don't know,Don't know,Somewhat difficult,Maybe,No,Some of them,Don't know,Yes
36,Male,United States,No,Never,100-500,No,No,No,Don't know,Don't know,Don't know,Yes,Maybe,No,Don't know,Yes
28,Male,United Kingdom,No,Never,Unknown,No,Yes,No,No,Yes,Very easy,No,No,Some of them,Yes,No
34,Male,Ireland,No,Often,Unknown,No,Yes,No,No,Don't know,Somewhat difficult,Yes,Maybe,Some of them,No,No
32,Male,United States,No,Never,100-500,No,Yes,Don't know,Yes,Don't know,Somewhat easy,No,No,No,Don't know,No
41,Female,United States,Yes,Rarely,500-1000,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,Maybe,Some of them,Yes,No
30,Male,United States,Yes,Rarely,26-100,No,Yes,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Don't know,No
33,Female,United Kingdom,No,Sometimes,Unknown,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Some of them,Don't know,No
31,Male,United States,No,Never,500-1000,No,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No
32,Male,United States,No,Sometimes,Unknown,No,Yes,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No
31,Male,Germany,Yes,Sometimes,100-500,No,Yes,No,No,Yes,Somewhat easy,No,No,Some of them,Don't know,No
